frame.time,ip.src,tcp.srcport,ip.dst,tcp.dstport,http.host,http.request.method,http.request.uri,http.user_agent
Jan 20, 2026 15:48:29.420810000 CST,192.168.4.2,59883,192.168.1.143,1234,192.168.1.143:1234,GET,/diagnosticswss,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
Jan 20, 2026 15:49:12.235467000 CST,192.168.4.2,53578,192.168.1.143,80,192.168.1.143,GET,/diagnostics,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
Jan 20, 2026 15:49:12.520101000 CST,192.168.4.2,22054,192.168.1.143,80,192.168.1.143,GET,/diagnostics/static/css/nucleo_icons.css,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
Jan 20, 2026 15:49:12.525017000 CST,192.168.4.2,8186,192.168.1.143,80,192.168.1.143,GET,/diagnostics/css/app.css,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
Jan 20, 2026 15:49:12.525092000 CST,192.168.4.2,24562,192.168.1.143,80,192.168.1.143,GET,/diagnostics/css/chunk-vendors.css,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
Jan 20, 2026 15:49:12.526342000 CST,192.168.4.2,58484,192.168.1.143,80,192.168.1.143,GET,/diagnostics/js/app.js,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
Jan 20, 2026 15:49:12.526409000 CST,192.168.4.2,24667,192.168.1.143,80,192.168.1.143,GET,/diagnostics/js/chunk-vendors.js,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
Jan 20, 2026 15:49:14.281172000 CST,192.168.4.2,18486,192.168.1.143,5000,192.168.1.143:5000,GET,/diagnostics/data/drivers,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
Jan 20, 2026 15:49:14.319597000 CST,192.168.4.2,9248,192.168.1.143,80,192.168.1.143,GET,/diagnostics/fonts/element-icons.woff,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
Jan 20, 2026 15:49:15.059616000 CST,192.168.4.2,32019,192.168.1.143,80,192.168.1.143,GET,/diagnostics/favicon.ico,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
Jan 20, 2026 15:49:17.157294000 CST,192.168.4.2,50094,192.168.1.143,1234,192.168.1.143:1234,GET,/diagnosticswss,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
