frame.time,ip.src,tcp.srcport,ip.dst,tcp.dstport,http.response.code,http.content_type,http.content_length
Jan 20, 2026 15:48:29.562373000 CST,192.168.1.143,1234,192.168.4.2,59883,101,,
Jan 20, 2026 15:49:12.349543000 CST,192.168.1.143,80,192.168.4.2,53578,200,text/html,1154
Jan 20, 2026 15:49:12.661597000 CST,192.168.1.143,80,192.168.4.2,22054,200,text/css,1974
Jan 20, 2026 15:49:13.008797000 CST,192.168.1.143,80,192.168.4.2,58484,200,text/javascript,15605
Jan 20, 2026 15:49:13.098190000 CST,192.168.1.143,80,192.168.4.2,8186,200,text/css,20091
Jan 20, 2026 15:49:13.202261000 CST,192.168.1.143,80,192.168.4.2,24562,200,text/css,34436
Jan 20, 2026 15:49:14.049109000 CST,192.168.1.143,80,192.168.4.2,24667,200,text/javascript,164039
Jan 20, 2026 15:49:14.949709000 CST,192.168.1.143,80,192.168.4.2,9248,200,font/woff,28200
Jan 20, 2026 15:49:15.175004000 CST,192.168.1.143,80,192.168.4.2,32019,200,image/ico,1150
Jan 20, 2026 15:49:17.019120000 CST,192.168.1.143,5000,192.168.4.2,18486,200,text/plain; charset=UTF-8,1153
Jan 20, 2026 15:49:17.275572000 CST,192.168.1.143,1234,192.168.4.2,50094,101,,
